 Produto interno bruto per capita - 2010 a 2013, referência 2010 - Brasil
PIB per capita por Município
Período:2010
"Município";"PIB_per_capita"
"171875 RIO SONO";5092,64
"171880 SAMPAIO";4926,15
"171884 SANDOLANDIA";9851,96
"171886 SANTA FE DO ARAGUAIA";8289,94
"171888 SANTA MARIA DO TOCANTINS";6831,48
"171889 SANTA RITA DO TOCANTINS";10774,57
"171890 SANTA ROSA DO TOCANTINS";9280,72
"171900 SANTA TEREZA DO TOCANTINS";6550,93
"172000 SANTA TEREZINHA DO TOCANTINS";5962,01
"172010 SAO BENTO DO TOCANTINS";4929,08
"172015 SAO FELIX DO TOCANTINS";7694,54
"172020 SAO MIGUEL DO TOCANTINS";4369,81
"172025 SAO SALVADOR DO TOCANTINS";10817,91
"172030 SAO SEBASTIAO DO TOCANTINS";5018,19
"172049 SAO VALERIO";8346,08
"172065 SILVANOPOLIS";9258,65
"172080 SITIO NOVO DO TOCANTINS";4785,53
"172085 SUCUPIRA";11950,83
"172090 TAGUATINGA";7338,68
"172093 TAIPAS DO TOCANTINS";6442,18
"172097 TALISMA";14274,76
"172100 PALMAS";17939,10
"172110 TOCANTINIA";4726,77
"172120 TOCANTINOPOLIS";6234,28
"172125 TUPIRAMA";16547,89
"172130 TUPIRATINS";10096,61
"172208 WANDERLANDIA";7307,96
"172210 XAMBIOA";20080,74
"210005 ACAILANDIA";9745,13
"210010 AFONSO CUNHA";2893,55
"210015 AGUA DOCE DO MARANHAO";2840,88
"210020 ALCANTARA";2740,94
"210030 ALDEIAS ALTAS";3239,47
"210040 ALTAMIRA DO MARANHAO";2977,05
"210043 ALTO ALEGRE DO MARANHAO";3948,83
"210047 ALTO ALEGRE DO PINDARE";3149,09
"210050 ALTO PARNAIBA";12147,81
"210055 AMAPA DO MARANHAO";3407,56
"210060 AMARANTE DO MARANHAO";3415,73
"210070 ANAJATUBA";3254,83
"210080 ANAPURUS";5236,48
"210083 APICUM-ACU";2580,55
"210087 ARAGUANA";2564,03
"210090 ARAIOSES";3337,49
"210095 ARAME";3297,48
"210100 ARARI";3933,83
"210110 AXIXA";2783,10
"210120 BACABAL";6076,54
"210125 BACABEIRA";11137,82
"210130 BACURI";2602,42
"210135 BACURITUBA";2927,35
"210140 BALSAS";17198,72
"210150 BARAO DE GRAJAU";4530,31
"210160 BARRA DO CORDA";3743,36
"210170 BARREIRINHAS";3569,08
"210173 BELAGUA";3144,84
"210177 BELA VISTA DO MARANHAO";3445,03
"210180 BENEDITO LEITE";3448,52
"210190 BEQUIMAO";2763,80
"210193 BERNARDO DO MEARIM";4360,38
"210197 BOA VISTA DO GURUPI";3482,66
"210200 BOM JARDIM";3998,41
"210203 BOM JESUS DAS SELVAS";4335,70
"210207 BOM LUGAR";3155,49
"210210 BREJO";4033,78
"210215 BREJO DE AREIA";3663,11
"210220 BURITI";3364,61
"210230 BURITI BRAVO";3060,84
"210232 BURITICUPU";3750,34
"210235 BURITIRANA";3040,86
"210237 CACHOEIRA GRANDE";2988,11
"210240 CAJAPIO";2628,28
"210250 CAJARI";2788,48
"210255 CAMPESTRE DO MARANHAO";4285,01
"210260 CANDIDO MENDES";3327,27
"210270 CANTANHEDE";3060,17
"210275 CAPINZAL DO NORTE";4631,35
"210280 CAROLINA";6002,73
"210290 CARUTAPERA";3458,79
"210300 CAXIAS";6622,91
"210310 CEDRAL";2838,86
"210312 CENTRAL DO MARANHAO";2645,79
"210315 CENTRO DO GUILHERME";2723,57
"210317 CENTRO NOVO DO MARANHAO";3538,66
"210320 CHAPADINHA";4517,54
"210325 CIDELANDIA";5035,27
"210330 CODO";5035,58
"210340 COELHO NETO";3943,85
"210350 COLINAS";3976,45
"210355 CONCEICAO DO LAGO-ACU";3621,57
"210360 COROATA";3452,75
"210370 CURURUPU";3335,09
"210375 DAVINOPOLIS";4385,84
"210380 DOM PEDRO";5493,85
"210390 DUQUE BACELAR";2863,18
"210400 ESPERANTINOPOLIS";3410,83
"210405 ESTREITO";12425,16
"210407 FEIRA NOVA DO MARANHAO";4031,32
"210408 FERNANDO FALCAO";3064,52
"210409 FORMOSA DA SERRA NEGRA";4215,49
"210410 FORTALEZA DOS NOGUEIRAS";7476,78
"210420 FORTUNA";3971,11
"210430 GODOFREDO VIANA";4295,18
"210440 GONCALVES DIAS";3039,71
"210450 GOVERNADOR ARCHER";2960,89
"210455 GOVERNADOR EDISON LOBAO";8887,17
"210460 GOVERNADOR EUGENIO BARROS";3294,42
"210462 GOVERNADOR LUIZ ROCHA";3359,90
"210465 GOVERNADOR NEWTON BELLO";2948,04
"210467 GOVERNADOR NUNES FREIRE";4198,23
"210470 GRACA ARANHA";3493,26
"210480 GRAJAU";5066,61
"210490 GUIMARAES";2943,74
"210500 HUMBERTO DE CAMPOS";2626,95
"210510 ICATU";2563,33
"210515 IGARAPE DO MEIO";6472,75
"210520 IGARAPE GRANDE";3682,50
"210530 IMPERATRIZ";11883,58
"210535 ITAIPAVA DO GRAJAU";3621,59
"210540 ITAPECURU MIRIM";4609,33
"210542 ITINGA DO MARANHAO";5461,65
"210545 JATOBA";3423,62
"210547 JENIPAPO DOS VIEIRAS";3083,60
"210550 JOAO LISBOA";5170,59
"210560 JOSELANDIA";3591,36
"210565 JUNCO DO MARANHAO";5135,97
"210570 LAGO DA PEDRA";3810,70
"210580 LAGO DO JUNCO";3130,99
"210590 LAGO VERDE";3190,73
"210592 LAGOA DO MATO";3322,04
"210594 LAGO DOS RODRIGUES";4531,66
"210596 LAGOA GRANDE DO MARANHAO";3855,09
"210598 LAJEADO NOVO";4424,22
"210600 LIMA CAMPOS";3435,16
"210610 LORETO";7623,90
"210620 LUIS DOMINGUES";2964,16
"210630 MAGALHAES DE ALMEIDA";2942,67
"210632 MARACACUME";4367,10
"210635 MARAJA DO SENA";4431,73
"210637 MARANHAOZINHO";3028,09
"210640 MATA ROMA";4039,09
"210650 MATINHA";3181,12
"210660 MATOES";2868,54
"210663 MATOES DO NORTE";3056,69
"210667 MILAGRES DO MARANHAO";3786,50
"210670 MIRADOR";4090,49
"210675 MIRANDA DO NORTE";8695,06
"210680 MIRINZAL";2907,27
"210690 MONCAO";2966,27
"210700 MONTES ALTOS";3514,48
"210710 MORROS";2964,51
"210720 NINA RODRIGUES";2473,41
"210725 NOVA COLINAS";5829,84
"210730 NOVA IORQUE";3655,56
"210735 NOVA OLINDA DO MARANHAO";3640,56
"210740 OLHO D'AGUA DAS CUNHAS";3922,44
"210745 OLINDA NOVA DO MARANHAO";2981,18
"210750 PACO DO LUMIAR";3614,94
"210760 PALMEIRANDIA";2989,30
"210770 PARAIBANO";3530,07
"210780 PARNARAMA";3259,96
"210790 PASSAGEM FRANCA";3631,64
"210800 PASTOS BONS";3915,78
"210805 PAULINO NEVES";2767,31
"210810 PAULO RAMOS";4049,89
"210820 PEDREIRAS";6974,37
"210825 PEDRO DO ROSARIO";2732,97
"210830 PENALVA";2803,63
"210840 PERI MIRIM";2541,51
"210845 PERITORO";3763,33
"210850 PINDARE-MIRIM";3580,51
"210860 PINHEIRO";5732,00
"210870 PIO XII";3525,36
"210880 PIRAPEMAS";3251,58
"210890 POCAO DE PEDRAS";4612,01
"210900 PORTO FRANCO";10454,89
"210905 PORTO RICO DO MARANHAO";3394,41
"210910 PRESIDENTE DUTRA";6253,53
"210920 PRESIDENTE JUSCELINO";3815,37
"210923 PRESIDENTE MEDICI";4140,39
"210927 PRESIDENTE SARNEY";4024,44
"210930 PRESIDENTE VARGAS";3006,77
"210940 PRIMEIRA CRUZ";2364,09
"210945 RAPOSA";3317,16
"210950 RIACHAO";7290,93
"210955 RIBAMAR FIQUENE";5183,61
"210960 ROSARIO";4027,01
"210970 SAMBAIBA";17330,33
"210975 SANTA FILOMENA DO MARANHAO";3677,59
"210980 SANTA HELENA";2865,93
"210990 SANTA INES";8559,44
"211000 SANTA LUZIA";4842,77
"211003 SANTA LUZIA DO PARUA";5598,16
"211010 SANTA QUITERIA DO MARANHAO";3154,30
"211020 SANTA RITA";3217,82
"211023 SANTANA DO MARANHAO";2478,16
"211027 SANTO AMARO DO MARANHAO";2290,66
